{re = 8.28421307, im = 0}
{re = -0.344402313, im = 0}
{re = -0.346532226, im = -0.342442393}
{re = -0.346532226, im = 0.342442393}
{re = -0.356831253, im = -0.827717304}
{re = -0.34476763, im = 0.141814739}
{re = -0.356831253, im = 0.827717304}
{re = -0.34476763, im = -0.141814739}
{re = -0.398558557, im = -1.73195243}
{re = -0.344486833, im = 0.0680997372}
{re = -0.345352918, im = -0.228781581}
{re = -0.349174529, im = 0.512658179}
{re = -0.398558557, im = 1.73195243}
{re = -0.344486833, im = -0.0680997372}
{re = -0.349174529, im = -0.512658179}
{re = -0.345352918, im = 0.228781581}
{re = -0.569643259, im = -3.5667572}
{re = -0.344423056, im = 0.0337194204}
{re = -0.345836759, im = -0.281012774}
{re = -0.347565055, im = 0.417317152}
{re = -0.351862013, im = -0.641060472}
{re = -0.345010936, im = 0.183007181}
{re = -0.367605209, im = 1.13163781}
{re = -0.34459877, im = -0.103855193}
{re = -0.569643259, im = 3.5667572}
{re = -0.344423056, im = -0.0337194204}
{re = -0.347565055, im = -0.417317152}
{re = -0.345836759, im = 0.281012774}
{re = -0.367605209, im = -1.13163781}
{re = -0.34459877, im = 0.103855193}
{re = -0.351862013, im = 0.641060472}
{re = -0.345010936, im = -0.183007181}
{re = -1.32719088, im = -7.76260185}
{re = -0.344407916, im = 0.0168190002}
{re = -0.346151769, im = -0.310358107}
{re = -0.346996486, im = 0.377846777}
{re = -0.353932202, im = -0.724654615}
{re = -0.344878733, im = 0.16193217}
{re = -0.361066967, im = 0.958674669}
{re = -0.344675034, im = -0.122501612}
{re = -0.378474027, im = -1.37216675}
{re = -0.344536036, im = 0.085757494}
{re = -0.345167518, im = -0.205219716}
{re = -0.350333691, im = 0.571582437}
{re = -0.442274153, im = 2.33416891}
{re = -0.344449341, im = -0.050784111}
{re = -0.348275542, im = -0.461823672}
{re = -0.345573783, im = 0.253944486}
{re = -1.32719088, im = 7.76260185}
{re = -0.344407916, im = -0.0168190002}
{re = -0.346996486, im = -0.377846777}
{re = -0.346151769, im = 0.310358107}
{re = -0.361066967, im = -0.958674669}
{re = -0.344675034, im = 0.122501612}
{re = -0.353932202, im = 0.724654615}
{re = -0.344878733, im = -0.16193217}
{re = -0.442274153, im = -2.33416891}
{re = -0.344449341, im = 0.050784111}
{re = -0.345573783, im = -0.253944486}
{re = -0.348275542, im = 0.461823672}
{re = -0.378474027, im = 1.37216675}
{re = -0.344536036, im = -0.085757494}
{re = -0.350333691, im = -0.571582437}
{re = -0.345167518, im = 0.205219716}
{re = -6.32824707, im = -23.6175919}
{re = -0.344403982, im = 0.00840377808}
{re = -0.346332788, im = -0.326024652}
{re = -0.346752405, im = 0.359688401}
{re = -0.35525322, im = -0.77331835}
{re = -0.344820499, im = 0.151764333}
{re = -0.358736485, im = 0.88900429}
{re = -0.344718963, im = -0.132066667}
{re = -0.386837989, im = -1.53208721}
{re = -0.344509631, im = 0.076879859}
{re = -0.345256299, im = -0.216817498}
{re = -0.34971568, im = 0.540975094}
{re = -0.415709853, im = 1.9893626}
{re = -0.344466925, im = -0.0594052076}
{re = -0.348697484, im = -0.486352891}
{re = -0.345458567, im = 0.241144687}
{re = -0.486687422, im = -2.82153749}
{re = -0.344434798, im = 0.0422259569}
{re = -0.345699281, im = -0.267218947}
{re = -0.347900122, im = 0.438868999}
{re = -0.351042867, im = -0.604811549}
{re = -0.34508574, im = 0.193958372}
{re = -0.372297019, im = 1.24112201}
